,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Regexes,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
13,12/14/2021,2023-05-03 00:59:00,,,40.59662,-74.00231,"(40.59662, -74.00231)",BELT PARKWAY,,12.5966.0023,,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,,,,,4486564,Sedan,,,,
14,12/14/2021,2023-05-03 23:10:00,QUEENS,11434.0,40.66684,-73.78941,"(40.66684, -73.78941)",NORTH CONDUIT AVENUE,150 STREET,12.6668.7894,,2.0,0.0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4486635,Sedan,Sedan,,,
15,12/14/2021,2023-05-03 17:58:00,BROOKLYN,11217.0,40.68158,-73.97463,"(40.68158, -73.97463)",,,12.6815.9746,480       DEAN STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486604,Tanker,Station Wagon/Sport Utility Vehicle,,,
16,12/14/2021,2023-05-03 20:03:00,BROOKLYN,11226.0,40.65068,-73.95881,"(40.65068, -73.95881)",,,12.6506.9588,878       FLATBUSH AVENUE,4.0,0.0,0,0,0,0,4,0,Steering Failure,,,,,4486991,Sedan,,,,
17,12/14/2021,2023-05-03 01:28:00,,,[40.14642789],[42.04943508],,MEEKER AVENUE,LORIMER STREET,12.1464.0494,,3.0,0.0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,4486284,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
18,12/11/2021,2023-05-03 19:43:00,BRONX,10463.0,40.87262,-73.904686,"(40.87262, -73.904686)",WEST KINGSBRIDGE ROAD,HEATH AVENUE,12.8726.9046,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487040,Station Wagon/Sport Utility Vehicle,Sedan,,,
19,12/14/2021,2023-05-03 14:30:00,,,40.783268,-73.82485,"(40.783268, -73.82485)",WHITESTONE EXPRESSWAY,,12.7832.8248,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4486537,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
20,12/11/2021,2023-05-03 04:45:00,MANHATTAN,10001.0,40.748917,-73.993546,"(40.748917, -73.993546)",,,12.7489.9935,232       WEST 30 STREET,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4486905,Station Wagon/Sport Utility Vehicle,,,,
21,12/14/2021,2023-05-03 05:46:00,,,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY,,12.7446.7704,,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
22,12/13/2021,2023-05-03 06:30:00,QUEENS,11372.0,40.75373,-73.88505,"(40.75373, -73.88505)",82 STREET,34 AVENUE,12.7537.8850,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4486967,Sedan,,,,
23,12/14/2021,2023-05-03 03:43:00,,,40.804375,-73.93742,"(40.804375, -73.93742)",LEXINGTON AVENUE,,12.8043.9374,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4486304,Station Wagon/Sport Utility Vehicle,,,,
24,12/13/2021,2023-05-03 17:40:00,STATEN ISLAND,10301.0,40.63165,-74.08762,"(40.63165, -74.08762)",VICTORY BOULEVARD,WOODSTOCK AVENUE,12.6316.0876,,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487001,Sedan,Sedan,,,
25,12/14/2021,2023-05-03 17:31:00,BROOKLYN,11230.0,40.623104,-73.95809,"(40.623104, -73.95809)",EAST 18 STREET,AVENUE K,12.6231.9580,,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,4486516,Sedan,,,,
26,12/14/2021,2023-05-03 20:13:00,BROOKLYN,11215.0,40.66576,-73.9845,"(40.66576, -73.9845)",,,12.6657.9845,366       12 STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486605,Sedan,,,,
27,12/14/2021,2023-05-03 12:54:00,BROOKLYN,11217.0,40.687534,-73.9775,"(40.687534, -73.9775)",FULTON STREET,SAINT FELIX STREET,12.6875.9775,,1.0,0.0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4487052,Sedan,Bike,,,
28,12/14/2021,2023-05-03 17:15:00,BROOKLYN,11211.0,40.710957,-73.951126,"(40.710957, -73.951126)",GRAND STREET,UNION AVENUE,12.7109.9511,,1.0,0.0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4486556,Bus,Station Wagon/Sport Utility Vehicle,,,
29,12/14/2021,2023-05-03 22:49:00,BRONX,10455.0,40.81813,-73.910126,"(40.81813, -73.910126)",,,12.8181.9101,713       EAGLE AVENUE,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4486875,Taxi,,,,
30,12/12/2021,2023-05-03 09:00:00,QUEENS,11385.0,40.70447,-73.90148,"(40.70447, -73.90148)",,,12.7044.9014,59-14     67 AVENUE,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486933,Station Wagon/Sport Utility Vehicle,,,,
31,12/14/2021,2023-05-03 16:25:00,,,40.784615,-73.953964,"(40.784615, -73.953964)",EAST 93 STREET,,12.7846.9539,,1.0,0.0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4486581,Van,Bike,,,
32,04/14/2021,2023-05-03 14:30:00,,,[40.18442316],[38.99574075],,EASTCHESTER ROAD,PELHAM PARKWAY NORTH,04.1844.9957,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407520,Bus,,,,
33,12/16/2021,2023-05-03 06:59:00,,,[40.01040395],[42.68728995],,KINGSLAND AVENUE,MEEKER AVENUE,12.0104.6872,,1.0,0.0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,4486960,,,,,
34,06/29/2022,2023-05-03 16:00:00,,,[40.11745568],[41.10710431],,WILLIAMSBURG BRIDGE OUTER ROADWA,,06.1174.1071,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4542336,Motorscooter,Station Wagon/Sport Utility Vehicle,,,
35,04/15/2021,2023-05-03 16:15:00,,,[42.10202856],[38.69859989],,HUTCHINSON RIVER PARKWAY,,04.1020.6985,,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,,,,,4407665,Station Wagon/Sport Utility Vehicle,,,,
36,07/07/2021,2023-05-03 11:42:00,,,[40.13052503],[42.29612219],,THROGS NECK BRIDGE,,07.1305.2961,,1.0,0.0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4456591,Sedan,Sedan,,,
37,07/12/2022,2023-05-03 17:50:00,BROOKLYN,11225.0,40.663303,-73.96049,"(40.663303, -73.96049)",,,07.6633.9604,44        EMPIRE BOULEVARD,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4545699,Sedan,,,,
38,03/23/2022,2023-05-03 10:00:00,,,[42.57192154],[42.0398648],,,,03.5719.0398,71        EAST DRIVE,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4512922,Bike,,,,
39,07/09/2021,2023-05-03 00:43:00,,,40.720535,-73.88885,"(40.720535, -73.88885)",ELIOT AVENUE,,07.7205.8888,,0.0,1.0,0,1,0,0,0,0,Unspecified,,,,,4456659,Bus,,,,
